Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Day of Week ,Time Slot,Ticket Status,Victim Group,Resolution Time
6327,9/21/2020,9/20/2020,21-09-2020 09:13,Delhi,123,ROBBERY,55,F,Explosives,Violent Crime,13,No,,Sunday,Night,Pending,Adult,N/A
6124,9/13/2020,12/9/2020,12-09-2020 22:37,Chennai,140,ILLEGAL POSSESSION,63,M,Knife,Other Crime,19,Yes,10/2/2020,Wednesday,Afternoon,Solved,Senior,19
28008,3/13/2023,12/3/2023,13-03-2023 00:53,Nagpur,356,ROBBERY,75,Other,None,Violent Crime,6,No,,Sunday,Afternoon,Pending,Senior,N/A
9177,1/19/2021,1/17/2021,17-01-2021 19:20,Surat,557,ARSON,20,F,Blunt Object,Fire Accident,18,Yes,3/2/2021,Sunday,Evening,Solved,Adult,42
22518,7/29/2022,7/27/2022,28-07-2022 04:33,Srinagar,318,HOMICIDE,73,F,Firearm,Other Crime,14,No,,Wednesday,Night,Pending,Senior,N/A
14492,8/29/2021,8/26/2021,27-08-2021 02:27,Jaipur,280,ILLEGAL POSSESSION,50,M,None,Other Crime,19,Yes,10/7/2021,Thursday,Night,Solved,Adult,39
5315,8/10/2020,9/8/2020,09-08-2020 23:14,Lucknow,136,EXTORTION,72,F,Blunt Object,Other Crime,7,Yes,9/3/2020,Tuesday,Morning,Solved,Senior,24
30293,6/16/2023,6/16/2023,16-06-2023 05:13,Bangalore,496,EXTORTION,76,F,Blunt Object,Other Crime,5,No,,Friday,Afternoon,Pending,Senior,N/A
29711,5/23/2023,5/22/2023,23-05-2023 10:37,Vasai,268,DRUG OFFENSE,39,F,Explosives,Other Crime,16,No,,Monday,Night,Pending,Adult,N/A
32165,9/5/2023,2/9/2023,02-09-2023 4:34,Kalyan,118,ARSON,50,F,Other,Fire Accident,3,Yes,11/7/2023,Thursday,Morning,Solved,Adult,63
2871,5/2/2020,4/29/2020,30-04-2020 06:28,Nagpur,530,ILLEGAL POSSESSION,59,F,Knife,Other Crime,13,Yes,6/20/2020,Wednesday,Night,Solved,Adult,49
35430,1/18/2024,1/16/2024,16-01-2024 10:13,Patna,384,IDENTITY THEFT,42,M,None,Violent Crime,2,No,,Tuesday,Afternoon,Pending,Adult,N/A
5461,8/16/2020,8/15/2020,16-08-2020 09:15,Kolkata,472,PUBLIC INTOXICATION,44,M,Explosives,Other Crime,15,Yes,8/21/2020,Saturday,Afternoon,Solved,Adult,5
20342,4/27/2022,4/27/2022,28-04-2022 06:23,Mumbai,411,KIDNAPPING,76,Other,Knife,Other Crime,12,Yes,7/15/2022,Wednesday,Night,Solved,Senior,79
5848,8/31/2020,8/31/2020,01-09-2020 2:36,Bangalore,329,ASSAULT,75,F,Knife,Violent Crime,3,Yes,9/20/2020,Monday,Morning,Solved,Senior,20
10147,2/26/2021,2/26/2021,27-02-2021 11:37,Chennai,511,KIDNAPPING,44,M,Knife,Other Crime,1,No,,Friday,Night,Pending,Adult,N/A
35163,1/5/2024,5/1/2024,06-01-2024 0:59,Delhi,263,FIREARM OFFENSE,70,F,None,Fire Accident,10,No,,Wednesday,Morning,Pending,Senior,N/A
9578,2/5/2021,3/2/2021,03-02-2021 3:17,Kolkata,597,FRAUD,75,F,Blunt Object,Other Crime,6,Yes,3/31/2021,Tuesday,Morning,Solved,Senior,54
14248,8/17/2021,8/16/2021,17-08-2021 14:39,Agra,524,SHOPLIFTING,79,F,Firearm,Other Crime,11,Yes,9/25/2021,Monday,Evening,Solved,Senior,39
11345,4/19/2021,4/17/2021,18-04-2021 06:44,Hyderabad,177,IDENTITY THEFT,26,F,Blunt Object,Violent Crime,2,No,,Saturday,Evening,Pending,Adult,N/A
38856,6/7/2024,6/6/2024,07-06-2024 17:05,Kolkata,552,PUBLIC INTOXICATION,58,F,None,Other Crime,15,No,,Thursday,Morning,Pending,Adult,N/A
31270,7/28/2023,7/26/2023,27-07-2023 04:35,Ghaziabad,474,HOMICIDE,78,F,Firearm,Other Crime,18,No,,Wednesday,Night,Pending,Senior,N/A
22368,7/22/2022,7/20/2022,21-07-2022 09:29,Delhi,156,EXTORTION,42,M,Blunt Object,Other Crime,11,Yes,9/12/2022,Wednesday,Night,Solved,Adult,52
32494,9/17/2023,9/15/2023,16-09-2023 06:30,Mumbai,580,FRAUD,50,F,Poison,Other Crime,7,Yes,11/30/2023,Friday,Afternoon,Solved,Adult,74
4339,7/1/2020,6/29/2020,30-06-2020 13:48,Jaipur,575,ILLEGAL POSSESSION,72,F,Firearm,Other Crime,13,Yes,7/11/2020,Monday,Night,Solved,Senior,10
1156,2/18/2020,2/18/2020,18-02-2020 11:28,Bhopal,293,KIDNAPPING,31,F,Poison,Other Crime,8,No,,Tuesday,Evening,Pending,Adult,N/A
21911,7/1/2022,1/7/2022,02-07-2022 11:13,Delhi,438,DRUG OFFENSE,32,Other,Poison,Other Crime,7,No,,Friday,Morning,Pending,Adult,N/A
18588,2/13/2022,2/13/2022,14-02-2022 09:45,Chennai,582,SHOPLIFTING,73,Other,Firearm,Other Crime,9,Yes,2/23/2022,Sunday,Afternoon,Solved,Senior,10
38512,5/25/2024,5/23/2024,23-05-2024 18:31,Agra,305,ILLEGAL POSSESSION,22,M,Poison,Other Crime,14,No,,Thursday,Night,Pending,Adult,N/A
8524,12/23/2020,12/21/2020,22-12-2020 02:19,Ahmedabad,558,SHOPLIFTING,18,F,Explosives,Other Crime,17,No,,Monday,Night,Pending,Adult,N/A
29017,4/24/2023,4/24/2023,24-04-2023 23:43,Nashik,161,FRAUD,61,M,Other,Other Crime,4,Yes,5/5/2023,Monday,Night,Solved,Senior,11
22940,8/13/2022,8/13/2022,14-08-2022 01:59,Pune,200,EXTORTION,72,M,Knife,Other Crime,15,No,,Saturday,Afternoon,Pending,Senior,N/A
5759,8/30/2020,8/27/2020,28-08-2020 05:09,Delhi,119,BURGLARY,24,M,None,Other Crime,16,No,,Thursday,Night,Pending,Adult,N/A
5045,8/1/2020,7/29/2020,29-07-2020 23:21,Patna,250,SHOPLIFTING,58,F,Explosives,Other Crime,10,Yes,8/23/2020,Wednesday,Night,Solved,Adult,22
14087,8/10/2021,9/8/2021,10-08-2021 3:25,Bangalore,104,PUBLIC INTOXICATION,36,M,Explosives,Other Crime,2,Yes,9/5/2021,Wednesday,Morning,Solved,Adult,26
17264,12/20/2021,12/20/2021,20-12-2021 17:35,Hyderabad,516,TRAFFIC VIOLATION,17,Other,Explosives,Traffic Fatality,8,No,,Monday,Evening,Pending,Minor,N/A
1339,2/27/2020,2/25/2020,26-02-2020 10:17,Delhi,405,FRAUD,67,M,Firearm,Other Crime,15,Yes,4/12/2020,Tuesday,Night,Solved,Senior,45
25803,12/11/2022,11/12/2022,11-12-2022 18:22,Jaipur,329,TRAFFIC VIOLATION,34,Other,Poison,Traffic Fatality,5,Yes,12/18/2022,Saturday,Morning,Solved,Adult,7
29342,5/9/2023,7/5/2023,08-05-2023 0:20,Bangalore,229,CYBERCRIME,55,M,Blunt Object,Other Crime,9,Yes,6/12/2023,Wednesday,Morning,Solved,Adult,34
28257,3/25/2023,3/23/2023,24-03-2023 06:28,Ahmedabad,560,DOMESTIC VIOLENCE,52,M,None,Violent Crime,17,Yes,4/3/2023,Thursday,Night,Solved,Adult,9
25261,11/20/2022,11/18/2022,19-11-2022 10:14,Chennai,261,TRAFFIC VIOLATION,70,M,Knife,Traffic Fatality,17,Yes,12/17/2022,Friday,Evening,Solved,Senior,27
7922,11/28/2020,11/26/2020,26-11-2020 22:33,Surat,128,IDENTITY THEFT,42,M,Other,Violent Crime,10,No,,Thursday,Night,Pending,Adult,N/A
18839,2/26/2022,2/23/2022,24-02-2022 04:49,Visakhapatnam,267,TRAFFIC VIOLATION,58,Other,Knife,Traffic Fatality,12,Yes,3/25/2022,Wednesday,Night,Solved,Adult,27
26660,1/16/2023,1/15/2023,16-01-2023 01:32,Pune,455,IDENTITY THEFT,47,Other,Explosives,Violent Crime,15,No,,Sunday,Afternoon,Pending,Adult,N/A
12261,5/27/2021,5/25/2021,26-05-2021 02:40,Mumbai,521,DRUG OFFENSE,66,M,Other,Other Crime,1,Yes,7/3/2021,Tuesday,Night,Solved,Senior,37
11935,5/14/2021,12/5/2021,12-05-2021 11:15,Nashik,587,ARSON,61,F,Blunt Object,Fire Accident,13,No,,Sunday,Afternoon,Pending,Senior,N/A
6574,10/3/2020,9/30/2020,30-09-2020 23:04,Mumbai,570,DRUG OFFENSE,74,F,Poison,Other Crime,18,No,,Wednesday,Night,Pending,Senior,N/A
28221,3/24/2023,3/21/2023,22-03-2023 00:20,Ghaziabad,345,ROBBERY,18,Other,Other,Violent Crime,18,Yes,8/7/2023,Tuesday,Night,Solved,Adult,136
12830,6/21/2021,6/18/2021,18-06-2021 23:21,Bangalore,533,COUNTERFEITING,26,F,Other,Other Crime,18,Yes,9/5/2021,Friday,Evening,Solved,Adult,76
21592,6/20/2022,6/18/2022,19-06-2022 06:12,Delhi,551,SHOPLIFTING,13,F,None,Other Crime,3,No,,Saturday,Evening,Pending,Minor,N/A
36792,3/14/2024,12/3/2024,13-03-2024 02:08,Indore,450,DRUG OFFENSE,78,F,Blunt Object,Other Crime,8,Yes,6/9/2024,Tuesday,Afternoon,Solved,Senior,87
24437,10/16/2022,10/15/2022,15-10-2022 16:02,Mumbai,466,SHOPLIFTING,38,F,Poison,Other Crime,9,No,,Saturday,Afternoon,Pending,Adult,N/A
23331,8/31/2022,8/30/2022,30-08-2022 22:12,Mumbai,292,DOMESTIC VIOLENCE,57,Other,Firearm,Violent Crime,11,No,,Tuesday,Night,Pending,Adult,N/A
35185,1/8/2024,6/1/2024,06-01-2024 1:21,Delhi,496,FIREARM OFFENSE,25,F,None,Fire Accident,14,Yes,3/12/2024,Saturday,Morning,Solved,Adult,64
8427,12/20/2020,12/17/2020,17-12-2020 06:17,Rajkot,437,PUBLIC INTOXICATION,23,F,Firearm,Other Crime,15,No,,Thursday,Evening,Pending,Adult,N/A
35206,1/7/2024,6/1/2024,07-01-2024 16:36,Chennai,166,FIREARM OFFENSE,45,M,Blunt Object,Fire Accident,13,Yes,1/29/2024,Saturday,Morning,Solved,Adult,22
11083,4/7/2021,6/4/2021,07-04-2021 0:14,Lucknow,355,VANDALISM,42,M,Other,Other Crime,4,No,,Friday,Morning,Pending,Adult,N/A
30408,6/23/2023,6/20/2023,21-06-2023 19:19,Thane,498,VEHICLE - STOLEN,58,F,Poison,Violent Crime,17,Yes,8/21/2023,Tuesday,Night,Solved,Adult,59
1379,2/28/2020,2/27/2020,28-02-2020 08:40,Jaipur,307,VANDALISM,49,F,Poison,Other Crime,3,No,,Thursday,Night,Pending,Adult,N/A
2469,4/13/2020,12/4/2020,13-04-2020 11:48,Ghaziabad,577,DOMESTIC VIOLENCE,27,F,None,Violent Crime,12,No,,Friday,Afternoon,Pending,Adult,N/A
8830,1/4/2021,2/1/2021,03-01-2021 20:23,Bangalore,248,PUBLIC INTOXICATION,14,F,Poison,Other Crime,11,Yes,1/27/2021,Monday,Morning,Solved,Minor,23
38841,6/7/2024,6/6/2024,06-06-2024 15:18,Kanpur,471,ROBBERY,77,M,Knife,Violent Crime,3,No,,Thursday,Morning,Pending,Senior,N/A
10264,3/4/2021,3/3/2021,03-03-2021 19:55,Lucknow,413,KIDNAPPING,65,M,Knife,Other Crime,10,Yes,3/23/2021,Wednesday,Morning,Solved,Senior,19
6825,10/11/2020,11/10/2020,11-10-2020 17:59,Agra,367,DRUG OFFENSE,21,M,Other,Other Crime,2,No,,Tuesday,Morning,Pending,Adult,N/A
10399,3/9/2021,9/3/2021,09-03-2021 19:09,Ahmedabad,126,VANDALISM,69,F,Explosives,Other Crime,7,Yes,6/4/2021,Friday,Morning,Solved,Senior,87
12819,6/18/2021,6/18/2021,18-06-2021 07:14,Agra,121,ASSAULT,74,F,Blunt Object,Violent Crime,10,No,,Friday,Evening,Pending,Senior,N/A
39429,7/3/2024,6/30/2024,01-07-2024 10:23,Chennai,360,EXTORTION,21,F,Poison,Other Crime,3,No,,Sunday,Morning,Pending,Adult,N/A
37551,4/14/2024,4/13/2024,14-04-2024 07:16,Ahmedabad,194,BURGLARY,45,M,Knife,Other Crime,14,Yes,8/26/2024,Saturday,Afternoon,Solved,Adult,134
5307,8/11/2020,9/8/2020,09-08-2020 19:35,Vasai,253,DOMESTIC VIOLENCE,62,M,Knife,Violent Crime,7,Yes,10/10/2020,Tuesday,Morning,Solved,Senior,60
25555,12/3/2022,11/30/2022,01-12-2022 0:27,Indore,278,SEXUAL ASSAULT,27,M,Explosives,Violent Crime,2,Yes,7/8/2024,Wednesday,Morning,Solved,Adult,583
21757,6/27/2022,6/25/2022,25-06-2022 22:37,Bangalore,535,ASSAULT,62,F,Firearm,Violent Crime,3,Yes,8/31/2022,Saturday,Night,Solved,Senior,65
30788,7/9/2023,6/7/2023,06-07-2023 22:05,Mumbai,248,SHOPLIFTING,53,F,Knife,Other Crime,10,Yes,8/11/2023,Wednesday,Morning,Solved,Adult,33
2100,3/29/2020,3/28/2020,29-03-2020 08:26,Surat,496,ASSAULT,45,F,None,Violent Crime,1,Yes,5/17/2020,Saturday,Night,Solved,Adult,49
23009,8/19/2022,8/16/2022,17-08-2022 06:34,Ghaziabad,264,DOMESTIC VIOLENCE,44,Other,Other,Violent Crime,15,No,,Tuesday,Evening,Pending,Adult,N/A
15033,9/20/2021,9/18/2021,19-09-2021 00:32,Delhi,583,HOMICIDE,17,F,Firearm,Other Crime,12,No,,Saturday,Evening,Pending,Minor,N/A
38681,6/2/2024,5/30/2024,31-05-2024 08:35,Kolkata,439,ARSON,62,M,Blunt Object,Fire Accident,12,No,,Thursday,Night,Pending,Senior,N/A
22661,8/4/2022,2/8/2022,02-08-2022 19:24,Kanpur,408,DOMESTIC VIOLENCE,53,M,None,Violent Crime,6,Yes,8/22/2022,Tuesday,Morning,Solved,Adult,18
11063,4/5/2021,5/4/2021,05-04-2021 23:59,Hyderabad,482,ROBBERY,10,F,Blunt Object,Violent Crime,8,Yes,8/30/2021,Tuesday,Morning,Solved,Minor,147
3502,5/28/2020,5/25/2020,26-05-2020 06:43,Hyderabad,236,SHOPLIFTING,15,F,Other,Other Crime,16,No,,Monday,Night,Pending,Minor,N/A
2444,4/13/2020,11/4/2020,12-04-2020 5:33,Kalyan,102,PUBLIC INTOXICATION,79,M,Poison,Other Crime,14,Yes,4/18/2020,Wednesday,Afternoon,Solved,Senior,5
38872,6/8/2024,7/6/2024,08-06-2024 11:24,Delhi,102,ILLEGAL POSSESSION,61,F,Firearm,Other Crime,10,No,,Saturday,Morning,Pending,Senior,N/A
6828,10/12/2020,11/10/2020,12-10-2020 1:44,Delhi,423,ARSON,12,M,None,Fire Accident,17,Yes,1/3/2021,Tuesday,Afternoon,Solved,Minor,83
5481,8/19/2020,8/16/2020,16-08-2020 14:18,Ahmedabad,597,ARSON,55,F,Knife,Fire Accident,18,No,,Sunday,Afternoon,Pending,Adult,N/A
24867,11/4/2022,2/11/2022,02-11-2022 7:43,Indore,552,COUNTERFEITING,26,M,Blunt Object,Other Crime,10,Yes,1/31/2023,Friday,Morning,Solved,Adult,88
16987,12/11/2021,8/12/2021,09-12-2021 0:01,Indore,544,SEXUAL ASSAULT,60,M,None,Violent Crime,7,Yes,5/17/2023,Thursday,Morning,Solved,Senior,522
898,2/9/2020,7/2/2020,07-02-2020 18:38,Bangalore,387,ARSON,76,F,Blunt Object,Fire Accident,12,Yes,3/15/2020,Thursday,Morning,Solved,Senior,35
31041,7/20/2023,7/17/2023,17-07-2023 20:41,Bangalore,464,FRAUD,72,F,Blunt Object,Other Crime,5,Yes,10/5/2023,Monday,Evening,Solved,Senior,77
9234,1/21/2021,1/19/2021,20-01-2021 15:39,Hyderabad,459,TRAFFIC VIOLATION,20,F,Explosives,Traffic Fatality,7,Yes,2/15/2021,Tuesday,Evening,Solved,Adult,25
28976,4/23/2023,4/22/2023,22-04-2023 23:08,Delhi,265,BURGLARY,40,F,Firearm,Other Crime,18,Yes,10/6/2023,Saturday,Night,Solved,Adult,166
29257,5/4/2023,4/5/2023,04-05-2023 0:18,Vasai,197,PUBLIC INTOXICATION,74,M,Knife,Other Crime,19,Yes,6/2/2023,Wednesday,Morning,Solved,Senior,29
1534,3/7/2020,4/3/2020,05-03-2020 11:25,Mumbai,350,PUBLIC INTOXICATION,62,F,Blunt Object,Other Crime,2,Yes,3/10/2020,Friday,Morning,Solved,Senior,3
30152,6/12/2023,10/6/2023,10-06-2023 10:02,Kolkata,207,VANDALISM,70,F,Blunt Object,Other Crime,5,Yes,6/25/2023,Friday,Morning,Solved,Senior,13
7320,11/1/2020,10/31/2020,01-11-2020 12:22,Thane,414,VEHICLE - STOLEN,66,M,Poison,Violent Crime,7,No,,Saturday,Morning,Pending,Senior,N/A
10944,4/1/2021,3/31/2021,01-04-2021 5:30,Pune,392,IDENTITY THEFT,31,M,Firearm,Violent Crime,12,No,,Wednesday,Morning,Pending,Adult,N/A
29153,4/30/2023,4/29/2023,30-04-2023 05:57,Chennai,538,FIREARM OFFENSE,54,Other,Other,Fire Accident,17,Yes,7/17/2023,Saturday,Night,Solved,Adult,78
2550,4/16/2020,4/16/2020,16-04-2020 11:12,Pune,539,COUNTERFEITING,54,F,Other,Other Crime,16,Yes,6/18/2020,Thursday,Afternoon,Solved,Adult,63
21413,6/13/2022,11/6/2022,12-06-2022 2:35,Pune,168,DOMESTIC VIOLENCE,20,Other,Blunt Object,Violent Crime,14,Yes,7/2/2022,Sunday,Afternoon,Solved,Adult,19
8636,12/26/2020,12/25/2020,26-12-2020 05:15,Ahmedabad,417,VEHICLE - STOLEN,74,M,Knife,Violent Crime,9,Yes,3/2/2021,Friday,Night,Solved,Senior,66
21607,6/22/2022,6/19/2022,19-06-2022 07:20,Delhi,533,IDENTITY THEFT,30,F,None,Violent Crime,13,No,,Sunday,Evening,Pending,Adult,N/A
14505,8/29/2021,8/27/2021,27-08-2021 15:17,Kanpur,404,FIREARM OFFENSE,31,F,None,Fire Accident,12,Yes,10/11/2021,Friday,Night,Solved,Adult,43
25709,12/9/2022,7/12/2022,07-12-2022 13:55,Chennai,140,COUNTERFEITING,29,F,Knife,Other Crime,7,No,,Tuesday,Morning,Pending,Adult,N/A
7419,11/7/2020,5/11/2020,06-11-2020 0:01,Ahmedabad,454,TRAFFIC VIOLATION,24,F,Firearm,Traffic Fatality,18,No,,Monday,Morning,Pending,Adult,N/A
10788,3/28/2021,3/25/2021,25-03-2021 19:58,Delhi,529,ROBBERY,35,F,Blunt Object,Violent Crime,3,No,,Thursday,Night,Pending,Adult,N/A
31578,8/10/2023,8/8/2023,09-08-2023 5:25,Agra,553,VEHICLE - STOLEN,11,F,Knife,Violent Crime,6,No,,Tuesday,Morning,Pending,Minor,N/A
18150,1/26/2022,1/26/2022,26-01-2022 08:22,Pune,224,KIDNAPPING,60,M,Firearm,Other Crime,3,No,,Wednesday,Night,Pending,Senior,N/A
37338,4/6/2024,4/4/2024,05-04-2024 2:23,Mumbai,272,ARSON,67,M,Firearm,Fire Accident,6,Yes,4/16/2024,Thursday,Morning,Solved,Senior,10
29681,5/23/2023,5/21/2023,22-05-2023 06:46,Pune,536,IDENTITY THEFT,14,F,Firearm,Violent Crime,7,Yes,5/31/2023,Sunday,Night,Solved,Minor,8
193,1/10/2020,9/1/2020,09-01-2020 5:28,Ghaziabad,249,PUBLIC INTOXICATION,19,F,None,Other Crime,3,No,,Tuesday,Morning,Pending,Adult,N/A
28126,3/20/2023,3/17/2023,18-03-2023 10:44,Bangalore,577,VANDALISM,33,M,Knife,Other Crime,1,Yes,5/9/2023,Friday,Evening,Solved,Adult,50
35518,1/22/2024,1/19/2024,20-01-2024 06:39,Bangalore,380,VEHICLE - STOLEN,27,F,Explosives,Violent Crime,14,No,,Friday,Evening,Pending,Adult,N/A
4903,7/25/2020,7/23/2020,23-07-2020 16:56,Kanpur,436,PUBLIC INTOXICATION,73,F,Explosives,Other Crime,12,Yes,8/5/2020,Thursday,Night,Solved,Senior,11
17660,1/8/2022,5/1/2022,06-01-2022 2:19,Lucknow,104,FRAUD,20,M,Blunt Object,Other Crime,1,Yes,3/4/2022,Sunday,Morning,Solved,Adult,55
26793,1/22/2023,1/21/2023,22-01-2023 01:17,Chennai,328,VEHICLE - STOLEN,30,F,Firearm,Violent Crime,7,No,,Saturday,Night,Pending,Adult,N/A
14065,8/11/2021,9/8/2021,09-08-2021 20:52,Ludhiana,381,CYBERCRIME,65,M,None,Other Crime,11,Yes,9/8/2021,Wednesday,Morning,Solved,Senior,28
3723,6/5/2020,4/6/2020,04-06-2020 22:25,Delhi,363,KIDNAPPING,76,M,Knife,Other Crime,11,Yes,6/16/2020,Monday,Morning,Solved,Senior,11
29796,5/27/2023,5/26/2023,26-05-2023 17:33,Delhi,457,EXTORTION,58,M,Explosives,Other Crime,4,Yes,6/17/2023,Friday,Night,Solved,Adult,21
30371,6/20/2023,6/19/2023,19-06-2023 21:12,Ahmedabad,351,ROBBERY,41,F,Other,Violent Crime,4,No,,Monday,Evening,Pending,Adult,N/A
22243,7/17/2022,7/15/2022,16-07-2022 12:03,Delhi,403,HOMICIDE,57,Other,Firearm,Other Crime,8,Yes,1/22/2023,Friday,Afternoon,Solved,Adult,189
35767,2/1/2024,1/30/2024,31-01-2024 01:37,Chennai,429,HOMICIDE,45,M,Knife,Other Crime,10,No,,Tuesday,Night,Pending,Adult,N/A
37103,3/26/2024,3/25/2024,26-03-2024 14:52,Bangalore,383,ILLEGAL POSSESSION,37,F,Explosives,Other Crime,15,Yes,4/28/2024,Monday,Night,Solved,Adult,33
15583,10/12/2021,11/10/2021,12-10-2021 3:52,Mumbai,185,CYBERCRIME,78,M,None,Other Crime,14,No,,Wednesday,Afternoon,Pending,Senior,N/A
26317,1/3/2023,1/1/2023,01-01-2023 14:05,Hyderabad,521,VEHICLE - STOLEN,14,M,Firearm,Violent Crime,13,No,,Sunday,Morning,Pending,Minor,N/A
29242,5/6/2023,3/5/2023,04-05-2023 2:51,Meerut,494,IDENTITY THEFT,41,F,Firearm,Violent Crime,2,No,,Sunday,Morning,Pending,Adult,N/A
28216,3/24/2023,3/21/2023,22-03-2023 14:48,Kolkata,528,VANDALISM,13,Other,Other,Other Crime,17,No,,Tuesday,Night,Pending,Minor,N/A
17807,1/12/2022,11/1/2022,12-01-2022 9:23,Pune,471,KIDNAPPING,45,F,None,Other Crime,6,No,,Tuesday,Afternoon,Pending,Adult,N/A
12120,5/20/2021,5/19/2021,20-05-2021 01:23,Hyderabad,101,PUBLIC INTOXICATION,70,M,None,Other Crime,9,No,,Wednesday,Evening,Pending,Senior,N/A
15459,10/8/2021,6/10/2021,06-10-2021 6:33,Hyderabad,110,ARSON,35,F,Poison,Fire Accident,9,No,,Thursday,Morning,Pending,Adult,N/A
10782,3/26/2021,3/25/2021,25-03-2021 07:15,Mumbai,592,SHOPLIFTING,60,M,Poison,Other Crime,14,No,,Thursday,Night,Pending,Senior,N/A
34442,12/6/2023,6/12/2023,06-12-2023 19:05,Chennai,364,ASSAULT,29,M,Blunt Object,Violent Crime,7,No,,Monday,Morning,Pending,Adult,N/A
22266,7/17/2022,7/16/2022,17-07-2022 08:05,Srinagar,156,IDENTITY THEFT,35,Other,Explosives,Violent Crime,14,Yes,9/11/2022,Saturday,Evening,Solved,Adult,56
10564,3/18/2021,3/16/2021,16-03-2021 03:21,Jaipur,132,KIDNAPPING,77,F,None,Other Crime,12,No,,Tuesday,Afternoon,Pending,Senior,N/A
37730,4/23/2024,4/21/2024,21-04-2024 12:29,Mumbai,112,COUNTERFEITING,56,M,Knife,Other Crime,18,No,,Sunday,Night,Pending,Adult,N/A
18929,2/28/2022,2/27/2022,28-02-2022 15:05,Jaipur,480,VANDALISM,18,M,Poison,Other Crime,4,Yes,4/20/2022,Sunday,Night,Solved,Adult,51
10109,2/27/2021,2/25/2021,25-02-2021 17:18,Hyderabad,134,EXTORTION,66,F,Poison,Other Crime,8,Yes,4/13/2021,Thursday,Night,Solved,Senior,45
5876,9/4/2020,1/9/2020,02-09-2020 11:43,Kolkata,412,ILLEGAL POSSESSION,15,F,Other,Other Crime,6,No,,Thursday,Morning,Pending,Minor,N/A
30919,7/13/2023,12/7/2023,12-07-2023 9:26,Hyderabad,379,VANDALISM,38,M,Poison,Other Crime,8,Yes,10/1/2023,Thursday,Afternoon,Solved,Adult,80
31498,8/7/2023,5/8/2023,06-08-2023 6:45,Delhi,477,IDENTITY THEFT,20,M,Knife,Violent Crime,18,No,,Monday,Morning,Pending,Adult,N/A
8326,12/12/2020,12/12/2020,13-12-2020 01:26,Chennai,169,HOMICIDE,36,M,Poison,Other Crime,15,No,,Saturday,Afternoon,Pending,Adult,N/A
32139,9/2/2023,1/9/2023,01-09-2023 23:13,Chennai,354,EXTORTION,53,F,Knife,Other Crime,1,No,,Monday,Morning,Pending,Adult,N/A
21949,7/3/2022,3/7/2022,04-07-2022 9:28,Pune,335,HOMICIDE,46,Other,Explosives,Other Crime,7,Yes,1/27/2024,Monday,Morning,Solved,Adult,573
21877,7/2/2022,6/30/2022,30-06-2022 14:50,Delhi,160,DOMESTIC VIOLENCE,54,Other,Explosives,Violent Crime,7,No,,Thursday,Night,Pending,Adult,N/A
13989,8/8/2021,5/8/2021,05-08-2021 22:20,Bangalore,447,EXTORTION,79,M,Other,Other Crime,12,Yes,10/18/2021,Saturday,Morning,Solved,Senior,71
5362,8/12/2020,11/8/2020,11-08-2020 9:02,Delhi,372,COUNTERFEITING,58,F,Blunt Object,Other Crime,18,Yes,9/10/2020,Sunday,Morning,Solved,Adult,29
4860,7/21/2020,7/21/2020,21-07-2020 19:00,Surat,267,IDENTITY THEFT,61,F,None,Violent Crime,10,Yes,9/29/2020,Tuesday,Night,Solved,Senior,70
9764,2/12/2021,10/2/2021,11-02-2021 15:48,Pune,156,ROBBERY,35,M,Firearm,Violent Crime,16,No,,Saturday,Morning,Pending,Adult,N/A
39265,6/26/2024,6/24/2024,24-06-2024 16:08,Agra,592,ARSON,76,M,Knife,Fire Accident,10,Yes,9/1/2024,Monday,Night,Solved,Senior,67
5609,8/24/2020,8/21/2020,22-08-2020 00:09,Pune,140,DRUG OFFENSE,18,F,None,Other Crime,3,Yes,11/7/2020,Friday,Night,Solved,Adult,75
30330,6/19/2023,6/17/2023,18-06-2023 02:52,Lucknow,338,DOMESTIC VIOLENCE,76,F,Knife,Violent Crime,8,No,,Saturday,Evening,Pending,Senior,N/A
25954,12/18/2022,12/17/2022,17-12-2022 13:19,Mumbai,482,DOMESTIC VIOLENCE,14,Other,Other,Violent Crime,2,Yes,3/1/2023,Saturday,Evening,Solved,Minor,73
27213,2/9/2023,7/2/2023,08-02-2023 3:52,Bangalore,435,CYBERCRIME,48,M,Poison,Other Crime,17,No,,Sunday,Morning,Pending,Adult,N/A
37298,4/4/2024,3/4/2024,03-04-2024 18:59,Kolkata,481,VANDALISM,54,M,Firearm,Other Crime,3,Yes,4/13/2024,Monday,Morning,Solved,Adult,9
1711,3/13/2020,12/3/2020,12-03-2020 21:34,Kolkata,328,EXTORTION,76,F,Poison,Other Crime,18,No,,Thursday,Afternoon,Pending,Senior,N/A
28979,4/24/2023,4/22/2023,22-04-2023 20:33,Ahmedabad,310,VEHICLE - STOLEN,14,M,Other,Violent Crime,11,No,,Saturday,Night,Pending,Minor,N/A
16748,12/1/2021,11/28/2021,29-11-2021 02:04,Kolkata,471,EXTORTION,38,M,Blunt Object,Other Crime,15,No,,Sunday,Night,Pending,Adult,N/A
